NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
23569,"BEEF,GROUND,85% LN MEAT / 15% FAT,PATTY,CKD,PAN-BROILED",50.3063,192.56,20.4346,11.6366,0.8881,0.0,0.0,0.0,16.6,2.2244,18.26,175.13,289.67,65.57,5.146,0.06723,0.00996,16.849,0.0,0.03569,0.14690999999999999,4.79574,0.60424,0.30461,6.64,0.0,6.64,6.64,67.313,2.3157,8.3,2.49,2.49,0.0,0.0,0.0,0.0,0.0,0.1079,0.0,1.66,1.245,4.42473,5.00822,0.36354,69.72,0.0,68.89,"1 patty,  ( yield from 1/4 lb raw meat )"
9159,"LIMES,RAW",59.1342,20.1,0.469,0.134,0.201,7.0618,1.876,1.1323,22.11,0.402,4.02,12.06,68.34,1.34,0.0737,0.04355,0.00536,0.268,19.497,0.0201,0.0134,0.134,0.14539000000000002,0.028810000000000002,5.36,0.0,5.36,5.36,3.417,0.0,33.5,1.34,0.0,0.0,20.1,0.0,0.0,0.0,0.1474,0.0,0.0,0.402,0.01474,0.01273,0.03685,0.0,10.72,44.89,"1 fruit,  (2"" dia)"
Ratio,(Sum of column(s)/Target value)x 100,2.96%,8.32%,42.66%,15.09%,,2.45%,4.94%,4.53%,3.87%,32.83%,5.57%,26.74%,7.62%,4.46%,47.45%,12.31%,0.67%,31.12%,21.66%,4.65%,12.33%,30.81%,14.99%,25.65%,3.0%,,,,12.86%,96.49%,,0.43%,,,,,,,1.7%,0.0%,,1.37%,,,,23.24%,,,
