NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
02010,"CINNAMON,GROUND",10.58,247,3.99,1.24,3.6,80.59,53.1,2.17,1002,8.32,60,64,431,10,1.83,0.339,17.466,3.1,3.8,0.022,0.041,1.332,0.358,0.158,6,0,6,6,11,0,295,15,0,1,112,129,15,222,2.32,0,0,31.2,0.345,0.246,0.068,0,0,2,1 tsp
02011,"CLOVES,GROUND",9.87,274,5.97,13,5.63,65.53,33.9,2.38,632,11.83,259,104,1020,277,2.32,0.368,60.127,7.2,0.2,0.158,0.22,1.56,0.509,0.391,25,0,25,25,37.4,0,160,8,0,0,45,103,0,0,8.82,0,0,141.8,3.952,1.393,3.606,0,0,2,1 tsp
12119,COCONUT H2O (LIQ FROM COCONUTS),94.99,19,0.72,0.2,0.39,3.71,1.1,2.61,24,0.29,25,20,250,105,0.1,0.04,0.142,1,2.4,0.03,0.057,0.08,0.043,0.032,3,0,3,3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0.008,0.002,0,0,240,1 cup
15192,"COD,PACIFIC,CKD,DRY HEAT",80.31,85,18.73,0.5,1.8,0,0,0,10,0.2,24,345,289,372,0.39,0.024,0.015,28,0,0.038,0.055,1.343,0.361,0.136,8,0,8,8,79.7,2.31,7,2,2,0,0,0,0,0,0.67,0.6,24,0,0.105,0.089,0.201,57,0,90,1 fillet
11162,"COLLARDS,CKD,BLD,DRND,WO/SALT",90.18,33,2.71,0.72,0.73,5.65,4,0.4,141,1.13,21,32,117,15,0.23,0.051,0.51,0.5,18.2,0.04,0.106,0.575,0.218,0.128,16,0,16,16,38.4,0,7600,380,0,68,4513,26,0,6197,0.88,0,0,406.6,0.047,0.026,0.173,0,0,190,"1 cup, chopped"
11161,"COLLARDS,RAW",89.62,32,3.02,0.61,1.32,5.42,4,0.46,232,0.47,27,25,213,17,0.21,0.046,0.658,1.3,35.3,0.054,0.13,0.742,0.267,0.165,129,0,129,129,23.2,0,5019,251,0,14,2991,28,0,4323,2.26,0,0,437.1,0.055,0.03,0.201,0,43,36,"1 cup, chopped"
11165,"CORIANDER (CILANTRO) LEAVES,RAW",92.21,23,2.13,0.52,1.47,3.67,2.8,0.87,67,1.77,26,48,521,46,0.5,0.225,0.426,0.9,27,0.067,0.162,1.114,0.57,0.149,62,0,62,62,12.8,0,6748,337,0,36,3930,202,0,865,2.5,0,0,310,0.014,0.275,0.04,0,15,4,.25 cup
02012,"CORIANDER LEAF,DRIED",7.3,279,21.93,4.78,14.08,52.1,10.4,7.27,1246,42.46,694,481,4466,211,4.72,1.786,6.355,29.3,566.7,1.252,1.5,10.707,,0.61,274,0,274,274,97.1,0,5850,293,0,31,3407,175,0,2428,1.03,0,0,1359.5,0.115,2.232,0.328,0,0,0.1,1 tsp
02013,CORIANDER SEED,8.86,298,12.37,17.77,6.02,54.99,41.9,,709,16.32,330,409,1267,35,4.7,0.975,1.9,26.2,21,0.239,0.29,2.13,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,,0.99,13.58,1.75,0,0,1,1 tsp
11168,"CORN,SWT,YEL,CKD,BLD,DRND,WO/SALT",73.41,96,3.41,1.5,0.71,20.98,2.4,4.54,3,0.45,26,77,218,1,0.62,0.049,0.167,0.2,5.5,0.093,0.057,1.683,0.792,0.139,23,0,23,23,29.1,0,263,13,0,23,66,161,0,906,0.09,0,0,0.4,0.197,0.374,0.603,0,45,89,"1 ear, small (5-1/2"" to 6-1/2"" long)"
