NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
23569,"BEEF,GROUND,85% LN MEAT / 15% FAT,PATTY,CKD,PAN-BROILED",60.61,232,24.62,14.02,1.07,0.0,0.0,0.0,20,2.68,22,211,349,79,6.2,0.081,0.012,20.3,0.0,0.043,0.177,5.778,0.728,0.367,8.0,0.0,8.0,8.0,81.1,2.79,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,2.0,1.5,5.331,6.034,0.438,84.0,0.0,83.0,"1 patty,  ( yield from 1/4 lb raw meat )"
12006,"CHIA SEEDS,DRIED",5.8,486,16.54,30.74,4.8,42.12,34.4,,631,7.72,335,860,407,16,4.58,0.924,2.723,55.2,1.6,0.62,0.17,8.83,,,49.0,,49.0,,,0.0,54.0,,,,,,,,0.5,,,,3.33,2.309,23.665,0.0,0.0,28.0,1 oz
11210,"EGGPLANT,CKD,BLD,DRND,WO/SALT",89.67,35,0.83,0.23,0.54,8.73,2.5,3.2,6,0.25,11,15,123,1,0.12,0.059,0.113,0.1,1.3,0.076,0.02,0.6,0.075,0.086,14.0,0.0,14.0,14.0,9.4,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.41,0.0,0.0,2.9,0.044,0.02,0.093,0.0,0.0,99.0,"1 cup,  (1"" cubes)"
9181,"MELONS,CANTALOUPE,RAW",90.15,34,0.84,0.19,0.65,8.16,0.9,7.86,9,0.21,12,15,267,16,0.18,0.041,0.041,0.4,36.7,0.041,0.019,0.734,0.105,0.072,21.0,0.0,21.0,21.0,7.6,0.0,3382.0,169.0,0.0,16.0,2020.0,1.0,0.0,26.0,0.05,0.0,0.0,2.5,0.051,0.003,0.081,0.0,49.0,160.0,"1 cup, cubes"
11297,"PARSLEY,FRSH",87.71,36,2.97,0.79,2.2,6.33,3.3,0.85,138,6.2,50,58,554,56,1.07,0.149,0.16,0.1,133.0,0.086,0.098,1.313,0.4,0.09,152.0,0.0,152.0,152.0,12.8,0.0,8424.0,421.0,0.0,0.0,5054.0,0.0,0.0,5561.0,0.75,0.0,0.0,1640.0,0.132,0.295,0.124,0.0,5.0,3.8,1 tbsp
